flag	key	speech	cps	attempts	similarity	spoken	transcript
	Intro-0	3.798	6.32	1	0.955	포산고 자율학습 출석부, 학년관리자 사용 안내입니다.	포상고 자율학습 출석부 학년관리자 사용 안내입니다.
	Intro-1	8.672	5.19	1	0.961	오늘출결, 학생 관리, 참여 설정, 좌석 배치, 감독 배정, 월간출결 여섯 개 탭을 차례로 살펴보겠습니다.	오늘 출결 학생관리 참여설정 좌석 배치 감독 배정 월간 출결 6개 탭을 차례로 살펴보겠습니다.
	Enter-0	5.212	6.52	1	1	학년관리자로 지정된 선생님은 출석부 위쪽에 초록색 학년 관리 버튼이 보입니다.	학년 관리자로 지정된 선생님은 출석부 위쪽에 초록색 학년 관리 버튼이 보입니다.
	Enter-1	2.373	7.58	1	1	누르면 학년 데이터관리 화면이 열립니다.	누르면 학년 데이터 관리 화면이 열립니다.
	Enter-2	2.421	7.43	1	0.909	위쪽 탭에서 여섯 가지 업무를 전환합니다.	위쪽 탭에서 6가지 업무를 전환합니다.
	Today-0	4.03	5.46	1	1	오늘출결 탭은 학년 전체의 오늘 출결 현황판입니다.	오늘 출결 탭은 학년 전체의 오늘 출결 현황판입니다.
	Today-1	7.217	5.68	1	0.943	오후 일, 오후 이, 야간 카드마다 감독교사와 출석, 결석, 사유결석, 방과후 인원이 나옵니다.	오후 1, 오후 2 야간 카드마다 감독교사와 출석, 결석, 사유결석, 방과 후 인원이 나옵니다.
	Today-2	4.702	5.95	1	1	오른쪽 아래에는 그 시간에 자습해야 하는 전체 인원이 표시됩니다.	오른쪽 아래에는 그 시간에 자습해야 하는 전체 인원이 표시됩니다.
	StudentsList-0	3.539	6.5	1	1	학생 관리 탭에서는 학년 전체 학생 명단을 관리합니다.	학생관리 탭에서는 학년 전체 학생 명단을 관리합니다.
	StudentsList-1	6.557	5.8	1	1	반을 골라 한 반만 볼 수 있고, 표에는 이름, 반, 번호, 학번, 상태, 도우미가 나옵니다.	반을 골라 한 반만 볼 수 있고 표에는 이름, 반, 번호, 학번, 상태, 도우미가 나옵니다.
	StudentsList-2	5.837	6.68	1	1	수정으로 정보를 고치고, 삭제하면 비활성 상태가 되며, 비활성 학생은 복원할 수 있습니다.	수정으로 정보를 고치고 삭제하면 비활성 상태가 되며 비활성 학생은 복원할 수 있습니다.
	StudentAdd-0	3.492	6.59	1	1	학생을 한 명씩 등록할 때는 학생 추가 버튼을 누릅니다.	학생을 한 명씩 등록할 때는 학생 추가 버튼을 누릅니다.
	StudentAdd-1	4.026	6.46	1	0.958	반과 번호, 이름을 입력하면 학번이 자동으로 만들어집니다.	방과 번호, 이름을 입력하면 학번이 자동으로 만들어집니다.
	StudentAdd-2	5.174	5.99	1	1	추가를 누르면 명단에 바로 들어갑니다. 전학생을 등록할 때 편리합니다.	추가를 누르면 명단에 바로 들어갑니다. 전학생을 등록할 때 편리합니다.
	StudentExcel-0	3.124	6.72	1	1	학년 전체 명단은 엑셀로 한 번에 올릴 수 있습니다.	학년 전체 명단은 엑셀로 한 번에 올릴 수 있습니다.
	StudentExcel-1	3.535	6.79	1	1	엑셀 버튼을 누르고 템플릿 다운로드로 양식을 받습니다.	엑셀 버튼을 누르고 템플릿 다운로드로 양식을 받습니다.
	StudentExcel-2	6.218	5.79	1	0.968	양식에 학년, 반, 번호, 이름을 채운 뒤, 파일을 끌어다 놓거나 눌러서 선택합니다.	양식의 학년 반 번호 이름을 채운 뒤 파일을 끌어다 놓거나 눌러서 선택합니다.
	StudentExcel-3	6.225	5.62	1	0.985	업로드를 누르면 성공과 실패 건수가 나오고, 실패한 행은 사유와 함께 표시됩니다.	업로드를 누르면 성공과 실패의 건수가 나오고 실패한 행은 사유와 함께 표시됩니다.
	StudentExcel-4	7.617	5.65	1	0.951	이미 등록된 학생과 반, 번호가 같은 행은 새 학생으로 바뀌어 참여 설정과 좌석이 처음부터 시작됩니다.	이미 등록된 학생과 반, 번호가 같은 행은 새 학생으로 바뀌어 차며 설정과 좌석이 처음부터 시작됩니다.
