flag	key	speech	cps	attempts	similarity	spoken	transcript
	Intro-0	3.185	6.59	1	0.947	포산고 자율학습 출석부, 교사 사용 안내입니다.	포상고 자율학습 출석부 교사 사용 안내입니다.
	Intro-1	7.496	5.87	1	1	로그인부터 출석 체크, 불참신청 승인, 감독 교체, 그리고 담임교사 메뉴까지 차례로 살펴보겠습니다.	로그인부터 출석 체크, 불참 신청 승인, 감독 교체, 그리고 담임교사 메뉴까지 차례로 살펴보겠습니다.
	Login-0	4.791	6.26	1	0.912	휴대폰이나 컴퓨터 브라우저에서 셀프 점 포산 점 케이알 에 접속합니다.	휴대폰이나 컴퓨터 브라우저에서 셀프 점포 산점, KR에 접속합니다.
	Login-1	3.133	6.7	1	1	처음 화면은 교사 로그인 탭이 선택되어 있습니다.	처음 화면은 교사 로그인 탭이 선택되어 있습니다.
	Login-2	7.681	5.99	1	0.909	아이디에는 나이스 로그인 아이디를, 비밀번호에는 초기 비밀번호 일일일일을 입력하고 로그인을 누릅니다.	아이디에는 나이스 로그인 아이디를 비밀번호에는 초기 비밀번호 1111을 입력하고 로그인을 누릅니다.
	Login-3	5.732	6.28	1	1	처음 로그인한 뒤에는 비밀번호를 꼭 바꿔 주세요. 방법은 영상 마지막에 안내합니다.	처음 로그인한 뒤에는 비밀번호를 꼭 바꿔주세요. 방법은 영상 마지막에 안내합니다.
	AttendanceTour-0	3.615	6.36	1	1	로그인하면 담당 학년의 자율학습 출석부가 열립니다.	로그인하면 담당 학년의 자율학습 출석부가 열립니다.
	AttendanceTour-1	7.323	6.01	1	1	파란 막대에는 오늘 날짜와 감독교사, 학년, 그리고 출석, 결석, 미체크, 방과후 인원이 표시됩니다.	파란막대에는 오늘 날짜와 감독교사, 학년, 그리고 출석, 결석, 미체크, 방과후 인원이 표시됩니다.
	AttendanceTour-2	4.021	6.71	1	1	다른 학년을 체크해야 할 때는 오른쪽 다른학년 버튼을 누릅니다.	다른 학년을 체크해야 할 때는 오른쪽 다른 학년 버튼을 누릅니다.
CHECK	AttendanceTour-3	6.301	5.4	1	0.714	아래 탭은 오후 일, 오후 이, 야간 세 개의 출석부와, 네 번째 불참신청 탭입니다.	아래 탭은 5.1, 5.2, 야간 3개의 출석부와 4. 불참 신청 탭입니다.
	SeatTap-0	5.633	6.04	1	1	좌석은 교실 모양 그대로 놓여 있고, 파란 좌석이 아직 체크하지 않은 학생입니다.	좌석은 교실 모양 그대로 놓여있고 파란 좌석이 아직 체크하지 않은 학생입니다.
	SeatTap-1	2.994	6.68	1	1	좌석을 한 번 누르면 초록색 출석으로 바뀝니다.	좌석을 한번 누르면 초록색 출석으로 바뀝니다.
	SeatTap-2	2.368	6.76	1	1	한 번 더 누르면 빨간색 결석이 됩니다.	한번 더 누르면 빨간색 결석이 됩니다.
	SeatTap-3	3.135	6.7	1	1	잘못 눌렀다면 한 번 더 눌러 미체크로 되돌립니다.	잘못 눌렀다면 한번 더 눌러 미체크로 되돌립니다.
	SeatTap-4	3.576	6.71	1	1	누르는 순간 바로 저장되므로 따로 저장 버튼은 없습니다.	누르는 순간 바로 저장되므로 따로 저장 버튼은 없습니다.
	SeatTap-5	3.755	5.86	1	0.842	오후 일, 오후 이, 야간은 탭마다 따로 체크합니다.	오후 1, 오후 2 야간은 템마다 따로 체크합니다.
CHECK	CopySession-0	3.211	6.54	1	0.75	오후 이 탭에는 오후 일 결과 복사 버튼이 있습니다.	5호 이탭에는 5호 1결과 복사 버튼이 있습니다.
	CopySession-1	6.161	6.33	1	0.889	누르면 오후 일의 출석과 결석을, 오후 이에서 아직 체크하지 않은 학생에게 그대로 옮깁니다.	누르면 5일의 출석과 결석을 5일에서 아직 체크하지 않은 학생에게 그대로 옮깁니다.
	CopySession-2	6.318	6.81	1	1	이미 체크한 학생이나 불참신청이 있는 학생은 바꾸지 않으니, 복사한 뒤 달라진 학생만 고치면 됩니다.	이미 체크한 학생이나 불참 신청이 있는 학생은 바꾸지 않으니 복사한 뒤 달라진 학생만 고치면 됩니다.
	SeatColors-0	2.554	6.66	1	1	좌석 색으로 학생 상태를 알 수 있습니다.	좌석색으로 학생 상태를 알 수 있습니다.
	SeatColors-1	4.767	6.5	1	1	노란 좌석에 불참승인이라고 적혀 있으면 불참신청이 승인된 학생입니다.	노란 좌석에 불참 승인이라고 적혀있으면 불참 신청이 승인된 학생입니다.
	SeatColors-2	8.696	6.09	1	0.98	노란 좌석에 방과후라고 적혀 있으면 오늘 방과후 수업에 참여하는 학생이고, 누르면 테두리 색으로 출석과 결석이 표시됩니다.	노란 자석에 방과후라고 적혀있으면 오늘 방과후 수업에 참여하는 학생이고 누르면 테두리 색으로 출석과 결석이 표시됩니다.
	SeatColors-3	4.365	7.56	1	1	이름 앞에 빨간 별표가 있으면 아직 승인되지 않은 불참신청이 있다는 뜻입니다.	이름 앞에 빨간 별표가 있으면 아직 승인되지 않은 불참신청이 있다는 뜻입니다.
	SeatColors-4	3.793	6.59	1	1	회색 좌석은 참여설정에서 오늘 참여하지 않는 학생입니다.	회색 좌석은 참여 설정에서 오늘 참여하지 않는 학생입니다.
	SeatColors-5	3.578	6.43	1	0.864	화면 아래 범례에서 색의 뜻을 다시 확인할 수 있습니다.	화면 아랫업 내에서 색의 뜻을 다시 확인할 수 있습니다.
	LongPress-0	2.649	7.17	1	1	회색 좌석은 한 번 눌러도 반응하지 않습니다.	회색 좌석은 한번 눌러도 반응하지 않습니다.
	LongPress-1	4.208	6.65	1	1	참여하지 않는 날이지만 자습에 나온 학생은 좌석을 꾹 눌러 주세요.	참여하지 않는 날이지만 자습에 나온 학생은 좌석을 꾹 눌러주세요.
	LongPress-2	6.033	6.96	1	0.937	영점오 초쯤 누르고 있으면 파란색으로 활성화되고, 그다음부터 눌러서 출석을 체크할 수 있습니다.	0.5초쯤 누르고 있으면 파란색으로 활성화되고 그 다음부터 눌러서 출석을 체크할 수 있습니다.
	LongPress-3	4.898	6.33	1	1	다른 탭으로 옮기면 활성화는 풀리지만, 체크한 기록은 그대로 남습니다.	다른 탭으로 옮기면 활성화는 풀리지만 체크한 기록은 그대로 남습니다.
	WeeklyInfo-0	5.575	6.1	1	0.97	좌석 오른쪽 위의 작은 아이 버튼을 누르면 그 학생의 이번 주 출석 현황이 열립니다.	좌석 오른쪽 위에 작은 아이 버튼을 누르면 그 학생의 이번주 출석 현황이 열립니다.
	WeeklyInfo-1	4.642	6.89	1	1	요일마다 비고를 적어 둘 수 있고, 입력 칸을 벗어나면 자동으로 저장됩니다.	요일마다 비고를 적어둘 수 있고 입력 칸을 벗어나면 자동으로 저장됩니다.
	WeeklyInfo-2	4.162	7.21	1	1	아래에는 이번 달과 학년도 참여시간, 학년 안에서의 순위가 나옵니다.	아래에는 이번 달과 학년도 참여시간 학년안에서의 순위가 나옵니다.
	AbsenceTab-0	4.548	5.5	1	1	네 번째 불참신청 탭에는 학생들이 낸 불참신청이 모입니다.	네 번째 불참신청 탭에는 학생들이 낸 불참신청이 모입니다.
	AbsenceTab-1	3.423	6.14	1	1	탭의 빨간 숫자는 승인을 기다리는 신청 수입니다.	탭의 빨간 숫자는 승인을 기다리는 신청수입니다.
	AbsenceTab-2	7.314	5.88	1	1	대기중, 승인, 반려 버튼으로 목록을 나눠 보고, 카드에서 학생과 날짜, 시간, 사유를 확인합니다.	대기중, 승인, 반려 버튼으로 목록을 나눠보고 카드에서 학생과 날짜, 시간, 사유를 확인합니다.
